polaridad,subjetividad,sentimiento,word_count
0.8689,0.8476190476190476,pos,32
0.5,0.85,neu,28
-0.2263,0.5777777777777778,neu,14
0.6597,0.8416666666666667,pos,23
-0.5106,0.0,neg,1
0.0772,0.5,neu,5
0.128,0.75,neu,5
-0.5106,0.4229166666666667,neg,18
0.2263,0.6000000000000001,neu,9
0.6597,1.0,pos,18
-0.6808,0.3678571428571429,neg,12
0.0,0.9,neu,4
0.0,0.6333333333333334,neu,9
-0.5106,0.0,neg,3
-0.7003,0.0,neg,2
0.1513,0.26666666666666666,neu,11
-0.6705,0.2111111111111111,neg,24
-0.5106,0.0,neg,10
0.5106,0.0,pos,7
-0.5106,0.0,neg,7
-0.0258,0.7,neu,6
0.2023,0.5333333333333333,neu,12
-0.5106,0.5,neg,6
-0.8591,0.0,neg,4
0.6463,1.0,pos,16
0.5719,0.45,pos,4
0.0,0.0,neu,4
-0.7506,0.9,neg,10
-0.9413,0.4,neg,16
-0.5423,0.5333333333333333,neg,7
-0.5106,0.0,neg,1
-0.9244,0.37333333333333335,neg,26
-0.8257,0.5111111111111112,neg,21
0.2263,0.0,neu,6
-0.4939,0.0,neu,5
-0.4404,0.0,neu,5
-0.5106,0.0,neg,4
-0.5574,1.0,neg,4
0.6908,0.85,pos,25
0.0,0.46666666666666673,neu,8
-0.5994,0.0,neg,5
-0.6486,0.0,neg,6
0.6259,1.0,pos,5
-0.0772,0.7125,neu,23
-0.7845,0.4,neg,11
-0.25,0.6,neu,13
0.5267,1.0,pos,5
-0.7964,0.0,neg,4
-0.6705,0.2111111111111111,neg,24
0.0,0.0,neu,2
-0.2263,0.0,neu,5
0.2732,0.0,neu,8
0.5423,0.5,pos,10
-0.5106,0.7,neg,2
-0.0258,0.9,neu,4
0.4019,0.45,neu,13
-0.8126,0.8125,neg,9
0.4215,0.55,neu,12
-0.5719,0.0,neg,4
0.7506,0.86,pos,24
-0.6249,0.6,neg,11
0.7274,0.275,pos,10
-0.5106,0.8,neg,22
-0.6705,0.2111111111111111,neg,24
0.7432,0.2,pos,13
-0.5106,0.4,neg,15
0.0258,0.5890909090909091,neu,21
-0.6486,0.0,neg,4
0.3412,0.0,neu,5
-0.6597,0.0,neg,9
0.8481,0.55,pos,14
-0.6369,0.64375,neg,18
-0.128,1.0,neu,13
-0.5106,0.30000000000000004,neg,3
0.0,0.9,neu,4
-0.3818,0.9,neu,5
-0.4939,0.0,neu,5
0.2263,0.6833333333333332,neu,15
0.0258,0.6345238095238095,neu,9
0.0,0.0,neu,4
-0.5106,0.0,neg,4
0.7783,0.5714285714285715,pos,21
-0.8316,0.0,neg,12
-0.7717,0.30000000000000004,neg,11
-0.0699,0.8875,neu,18
0.6705,0.9444444444444444,pos,5
-0.8402,0.7272727272727273,neg,26
-0.4404,0.9,neu,6
-0.296,0.0,neu,11
-0.296,0.0,neu,11
-0.25,0.1,neu,6
-0.0,0.68,neu,22
0.1779,0.9,neu,10
-0.5267,0.0,neg,3
0.8225,0.8,pos,21
-0.4939,0.4,neu,7
-0.4404,0.0,neu,7
-0.6705,0.2111111111111111,neg,24
0.9118,0.5222222222222223,pos,20
-0.5719,0.3,neg,12
0.4939,0.6625,neu,13
-0.4939,0.0,neu,4
-0.5994,0.1,neg,13
-0.4588,0.33055555555555555,neu,23
0.6369,0.36428571428571427,pos,8
0.8024,0.9166666666666667,pos,12
0.6369,0.95,pos,10
-0.296,0.9,neu,4
-0.5106,0.0,neg,3
0.0,0.0,neu,2
-0.0772,0.5,neu,17
-0.9081,0.825,neg,19
-0.0992,0.0,neu,11
-0.4939,0.5,neu,2
-0.0258,0.0,neu,4
0.0516,0.4604166666666667,neu,14
-0.4939,0.8500000000000001,neu,4
0.25,0.6,neu,7
0.3687,0.3678571428571429,neu,12
0.4588,0.9,neu,13
-0.5106,0.0,neg,4
-0.6808,0.65,neg,20
-0.4939,0.2772727272727273,neu,9
0.9368,0.63125,pos,17
0.1045,0.65,neu,25
0.0,0.0,neu,8
0.1531,1.0,neu,3
0.8271,0.45,pos,18
-0.128,0.3375,neu,21
0.3612,0.35,neu,22
-0.4404,0.0,neu,3
-0.5719,0.55,neg,8
-0.4404,0.39999999999999997,neu,7
-0.8182,0.5,neg,21
0.34,0.4,neu,23
-0.5719,0.7111111111111111,neg,21
0.4588,0.1,neu,18
-0.5106,0.0,neg,3
-0.5859,1.0,neg,3
0.1027,0.32999999999999996,neu,10
0.7351,0.5833333333333333,pos,13
0.5423,0.0,pos,24
