timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2021-11-19,"Woke up with surging chest pain, Thought I was stabbed, Found no killer, no knife, Nobody; Just my own ribs sharpened, My own lungs swollen, My own heart fractured. Took a breath, Left my bed, Caught my bus, Drew a smile, Acted “normal”, Drawing a semicolon On my left wrist.",b'sinusandcoffee',[],Shiganshina,106,0,0
2021-11-19,I ain’t gone hold you self defense and on camera. If I gotta do the time I’m doing the time. Ain’t no SOL. We don’t do that fear shit babbyyyyyy. Something getting CLAPPED. It’s Finna be a round of applause. Standing ovation 🤣🤣🤣 https://t.co/sRULwInVUJ,b'___Wordsmiff___',[],"Queens, NY",2699,0,0
2021-11-19,"Funny prayer and response - the pain in my hip switched sides, so I asked God what that was about. He said it's a reminder of the covenant! He's a name-changing God! A promise- keeper! 😂🙌🏿❤🖤❤🖤❤🖤❤",b'EagleEyesEvelyn',[],WHY YOU NEED TO KNOW?,1254,0,0
2021-11-19,"@ARegalAfricanR1 Exactly. It’s that simple. Our people must look deep beneath the surface. Malcolm said they are afraid to bleed. It's trinket syndrome -Rothschild money, fluoride, materialism, sexual content control the thoughts of most. None stand firm for the benefit of future generations",b'BossSancho',[],"Sanko, Dubreka, Guinea",571,0,0
2021-11-19,I had a feeling so peculiar that this pain would be for evermore,b'13tsdl',[],,2167,0,1
2021-11-19,Release the need to conform to this bullshit ass society Release the need for respectability politics in our movement Release the fear of being vulnerable so we can heal with those we’re building with Sending healing vibes to everyone today,b'jdvela_',[],"Detroit, MI",284,0,0
2021-11-19,@azizdizitv @ShowTV @O3Medya Pain 💔😭 #DamlaSönmez _ #Dilruba https://t.co/Jw164O2UrS,b'cukurda24',"['DamlaSönmez', 'Dilruba']",,310,0,0
2021-11-19,@allen_tanya Thank you Tanya. Been in a lot of pain but had a short trip into town this evening. I hope you're ok lovely lady. Have a nice evening and a happy weekend 😀,b'snowangelmrsp',[],The Highlands ♡,13604,0,0
2021-11-19,@AllbrightNFL You’re so outspoken on everything else! You believe he’s innocent but you don’t dare say it because you don’t a bullshit label put on you. The case was a cut and dry self defense and you shouldn’t be afraid to say that.,b'Luv_2_Hike',[],,2,0,0
2021-11-19,"@AtlStarkey @ScooterCasterNY Exactly, now they can't use (as successfully at least) the fear of violence to intimidate people who disagree.",b'CoyoteDragoon',[],,14,0,0
2021-11-19,If you argued that people had weapons then you have a reason to fear for your life. A gun pointed on unarmed people is intending to murder point blank period.,b'aquariancity',[],nat | 22 | they/she,507,0,1
